"","gameType","steamProductName","releaseDate","steamLowestPrice","CDKeysPrices"
"1","Steam","Disco Elysium - The Final Cut","2019","7.99","41.99"
"2","Steam","The Orange Box","2007","1.99","13.59"
"3","Steam","Half-Life","1998","0.99","7.39"
"4","Steam","Half-Life 2","2004","0.99","20.49"
"5","Steam","Persona 5 Royal","2022","36.74","54.39"
"6","Steam","Portal 2","2011","0.99","12.29"
"7","Steam","ELDEN RING","2022","37.54","48.19"
"8","Steam","Mass Effect 2 Digital Deluxe Edition","2010","0.68","0.00"
"9","Steam","Mass Effect 2 Digital Deluxe Edition","2010","0.68","0.00"
"10","Steam","Oblivion Game of the Year Deluxe","2009","0.09","4.89"
"11","Steam","Divinity: Original Sin - Enhanced Edition","2015","7.99","15.79"
"12","Steam","The Elder Scrolls IV: Oblivion Game of the Year Edition Deluxe","2009","0.09","4.89"
"13","Steam","Quake","1996","1.10","4.29"
"14","Steam","Sid Meier's Civilization IV","2005","1.00","0.00"
"15","Steam","BioShock Infinite","2013","0.00","4.69"
"16","Steam","The Elder Scrolls IV: Oblivion Game of the Year Edition","2007","0.59","0.00"
"17","Steam","Mass Effect 2 (2010)","2010","0.00","0.00"
"18","Steam","The Elder Scrolls V: Skyrim","2011","1.82","0.00"
"19","Steam","God of War","2022","22.02","27.79"
"20","Steam","Tetris Effect: Connected","2021","15.99","0.00"
"21","Steam","Red Dead Redemption 2","2019","13.40","61.79"
"22","Steam","Half-Life: Alyx","2020","23.99","56.19"
"23","Steam","Hades","2020","6.24","22.89"
"24","Steam","Beat Saber","2019","19.99","28.19"
"25","Steam","Company of Heroes","2006","1.00","11.39"
"26","Steam","Divinity: Original Sin 2 - Definitive Edition","2017","15.74","25.29"
"27","Steam","Company of Heroes","2006","1.00","11.39"
"28","Steam","The Witcher 3: Wild Hunt","2015","6.59","0.00"
"29","Steam","Quake III Arena","1999","2.30","5.59"
"30","Steam","Company of Heroes - Legacy Edition","2006","3.99","0.00"
"31","Steam","Unreal Tournament 2004: Editor's Choice Edition","2004","0.78","0.00"
"32","Steam","STAR WARS - Knights of the Old Republic","2003","0.57","7.79"
"33","Steam","FINAL FANTASY XIV: Endwalker","2021","19.99","0.00"
"34","Steam","Okami HD","2017","4.38","7.39"
"35","Steam","The Witcher 3: Wild Hunt - Blood and Wine","2016","4.65","12.09"
"36","Steam","Undertale","2015","2.99","7.39"
"37","Steam","System Shock 2","1999","0.99","4.09"
"38","Steam","Thief Gold","1998","0.77","0.00"
"39","Steam","Call of Duty 4: Modern Warfare","2007","4.49","14.59"
"40","Steam","Unreal Tournament: Game of the Year Edition","2000","0.52","1.59"
"41","Steam","Tom Clancy's Splinter Cell Chaos Theory","2005","0.00","0.00"
"42","Steam","Galactic Civilizations II: Ultimate Edition","2008","0.00","2.09"
"43","Steam","Forza Horizon 5","2021","27.49","17.29"
"44","Steam","Spelunky 2","2020","9.99","0.00"
"45","Steam","Microsoft Flight Simulator 40th Anniversary Edition","2020","38.65","0.00"
"46","Steam","Disco Elysium - The Final Cut Soundtrack","2020","3.74","0.00"
"47","Steam","Disco Elysium - Soundtrack and Artbooklet","2019","4.99","0.00"
"48","Steam","Crusader Kings III","2020","9.72","35.79"
